Airport,Terminal,Date,hour,date_time,Total,Flights,Booths
TPA,Main,11/8/2021,12:00,2021/11/08 12:00,158,1,3
TPA,Main,11/8/2021,16:00,2021/11/08 16:00,8,1,1
TPA,Main,11/9/2021,12:00,2021/11/09 12:00,57,1,3
TPA,Main,11/10/2021,12:00,2021/11/10 12:00,78,1,4
TPA,Main,11/11/2021,12:00,2021/11/11 12:00,101,1,4
TPA,Main,11/12/2021,12:00,2021/11/12 12:00,94,1,5
TPA,Main,11/13/2021,12:00,2021/11/13 12:00,99,1,6
TPA,Main,11/13/2021,13:00,2021/11/13 13:00,217,2,6
TPA,Main,11/13/2021,15:00,2021/11/13 15:00,48,1,3
TPA,Main,11/14/2021,12:00,2021/11/14 12:00,155,1,5
TPA,Main,11/14/2021,13:00,2021/11/14 13:00,88,1,5
TPA,Main,11/15/2021,12:00,2021/11/15 12:00,126,1,3
TPA,Main,11/15/2021,15:00,2021/11/15 15:00,6,1,1
TPA,Main,11/15/2021,16:00,2021/11/15 16:00,8,1,1
TPA,Main,11/15/2021,17:00,2021/11/15 17:00,335,1,6
TPA,Main,11/16/2021,12:00,2021/11/16 12:00,90,1,3
TPA,Main,11/17/2021,12:00,2021/11/17 12:00,101,1,5
TPA,Main,11/17/2021,16:00,2021/11/17 16:00,316,1,6
TPA,Main,11/18/2021,12:00,2021/11/18 12:00,54,1,4
TPA,Main,11/18/2021,15:00,2021/11/18 15:00,325,1,7
TPA,Main,11/18/2021,17:00,2021/11/18 17:00,13,1,1
TPA,Main,11/19/2021,12:00,2021/11/19 12:00,71,2,6
TPA,Main,11/20/2021,12:00,2021/11/20 12:00,217,2,7
TPA,Main,11/20/2021,14:00,2021/11/20 14:00,435,2,8
TPA,Main,11/20/2021,16:00,2021/11/20 16:00,96,1,5
TPA,Main,11/21/2021,12:00,2021/11/21 12:00,101,1,6
TPA,Main,11/21/2021,13:00,2021/11/21 13:00,129,2,6
TPA,Main,11/21/2021,16:00,2021/11/21 16:00,197,1,7
TPA,Main,11/22/2021,10:00,2021/11/22 10:00,7,1,1
TPA,Main,11/22/2021,13:00,2021/11/22 13:00,130,2,5
TPA,Main,11/22/2021,17:00,2021/11/22 17:00,271,1,6
TPA,Main,11/23/2021,12:00,2021/11/23 12:00,173,2,4
TPA,Main,11/23/2021,14:00,2021/11/23 14:00,10,1,1
TPA,Main,11/24/2021,12:00,2021/11/24 12:00,91,1,4
TPA,Main,11/24/2021,14:00,2021/11/24 14:00,130,1,4
TPA,Main,11/24/2021,15:00,2021/11/24 15:00,220,1,5
TPA,Main,11/25/2021,12:00,2021/11/25 12:00,103,1,4
TPA,Main,11/25/2021,14:00,2021/11/25 14:00,204,1,5
TPA,Main,11/26/2021,12:00,2021/11/26 12:00,187,2,4
TPA,Main,11/26/2021,16:00,2021/11/26 16:00,7,1,1
TPA,Main,11/27/2021,11:00,2021/11/27 11:00,11,1,1
TPA,Main,11/27/2021,12:00,2021/11/27 12:00,295,2,6
TPA,Main,11/27/2021,13:00,2021/11/27 13:00,133,1,6
TPA,Main,11/27/2021,14:00,2021/11/27 14:00,281,1,7
TPA,Main,11/27/2021,15:00,2021/11/27 15:00,9,1,1
TPA,Main,11/27/2021,16:00,2021/11/27 16:00,71,1,3
TPA,Main,11/27/2021,18:00,2021/11/27 18:00,41,1,2
TPA,Main,11/28/2021,12:00,2021/11/28 12:00,305,3,6
TPA,Main,11/28/2021,15:00,2021/11/28 15:00,10,1,1
TPA,Main,11/28/2021,16:00,2021/11/28 16:00,245,1,5
TPA,Main,11/29/2021,11:00,2021/11/29 11:00,131,1,5
TPA,Main,11/29/2021,14:00,2021/11/29 14:00,157,1,5
TPA,Main,11/29/2021,17:00,2021/11/29 17:00,254,1,5
TPA,Main,11/30/2021,13:00,2021/11/30 13:00,123,1,3
TPA,Main,12/1/2021,17:00,2021/12/01 17:00,232,1,5
TPA,Main,12/2/2021,12:00,2021/12/02 12:00,163,2,4
TPA,Main,12/2/2021,15:00,2021/12/02 15:00,214,1,6
TPA,Main,12/3/2021,11:00,2021/12/03 11:00,65,1,6
TPA,Main,12/3/2021,12:00,2021/12/03 12:00,41,1,5
TPA,Main,12/4/2021,12:00,2021/12/04 12:00,188,2,7
TPA,Main,12/4/2021,13:00,2021/12/04 13:00,99,1,7
TPA,Main,12/4/2021,15:00,2021/12/04 15:00,68,1,5
TPA,Main,12/4/2021,16:00,2021/12/04 16:00,236,1,5
TPA,Main,12/5/2021,12:00,2021/12/05 12:00,209,2,7
TPA,Main,12/5/2021,13:00,2021/12/05 13:00,114,1,6
TPA,Main,12/5/2021,16:00,2021/12/05 16:00,172,1,3
TPA,Main,12/6/2021,12:00,2021/12/06 12:00,58,1,3
TPA,Main,12/6/2021,13:00,2021/12/06 13:00,227,3,3
TPA,Main,12/6/2021,16:00,2021/12/06 16:00,105,1,5
TPA,Main,12/7/2021,12:00,2021/12/07 12:00,88,1,4
TPA,Main,12/7/2021,14:00,2021/12/07 14:00,91,1,3
TPA,Main,12/8/2021,10:00,2021/12/08 10:00,13,1,1
TPA,Main,12/8/2021,13:00,2021/12/08 13:00,60,1,4
TPA,Main,12/8/2021,16:00,2021/12/08 16:00,155,1,4
TPA,Main,12/9/2021,12:00,2021/12/09 12:00,113,1,6
TPA,Main,12/9/2021,13:00,2021/12/09 13:00,101,2,6
TPA,Main,12/9/2021,15:00,2021/12/09 15:00,192,1,7
TPA,Main,12/10/2021,12:00,2021/12/10 12:00,167,2,6
TPA,Main,12/10/2021,13:00,2021/12/10 13:00,80,1,7
TPA,Main,12/10/2021,15:00,2021/12/10 15:00,119,1,4
TPA,Main,12/11/2021,12:00,2021/12/11 12:00,212,2,7
TPA,Main,12/11/2021,13:00,2021/12/11 13:00,100,1,7
TPA,Main,12/11/2021,14:00,2021/12/11 14:00,282,1,7
TPA,Main,12/11/2021,16:00,2021/12/11 16:00,98,1,4
TPA,Main,12/11/2021,17:00,2021/12/11 17:00,7,1,1
TPA,Main,12/12/2021,12:00,2021/12/12 12:00,133,1,7
TPA,Main,12/12/2021,13:00,2021/12/12 13:00,79,1,8
TPA,Main,12/12/2021,15:00,2021/12/12 15:00,134,1,7
TPA,Main,12/12/2021,17:00,2021/12/12 17:00,218,1,6
TPA,Main,12/13/2021,11:00,2021/12/13 11:00,85,1,3
TPA,Main,12/13/2021,12:00,2021/12/13 12:00,121,1,3
TPA,Main,12/13/2021,13:00,2021/12/13 13:00,107,2,3
TPA,Main,12/13/2021,17:00,2021/12/13 17:00,233,1,5
TPA,Main,12/14/2021,12:00,2021/12/14 12:00,101,1,4
